Dataset,Variable,Where Clause,Description,Type,Codelist,Origin,Derivation / Comments / Predecessor,Column1,XL Comments,
ADEXSUM,AVAL,PARAMCD EQ RNDOSHLD,Number of Dose Holds for Nivo/Rela FDC,float,,Derived,"If EXTRT=""Relatlimab/Nivolumab FDC"", count number of unique ADEX.AVAL recods exist where CRIT18FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ RTT1HLD,Time to 1st Dose Hold for Nivo/Rela FDC (Days),float,,Derived,"If EXTRT=""Relatlimab/Nivolumab FDC""
Find earliest ADEX.ASTDT where ADEX.CRIT3FL=Y
AVAL = the above ADEX.ASTDT - TRTSDT +1.
Note: only populate when AVAL is not missing. Do not output an ADEXSUM record if no ADEX record exists where CRIT3FL=""Y""",,,
ADEXSUM,AVAL,PARAMCD EQ NMODANYR,Number of Any Nivo/Rela FDC Dose Mods ,float,,Derived,Sum of ADEXSUM.AVAL for parameters RNDOSRED and RNDOSHLD,,,
ADEXSUM,AVAL,PARAMCD EQ NMODAER,Number of Any Nivo/Rela FDC Dose Mods due to AE,float,,Derived,Sum of ADEXSUM.AVAL for parameters RAEREDS and RAEHLDS,,,
ADEXSUM,AVAL,PARAMCD EQ RTTFMOD,Time to 1st Nivo/Rela FDC Dose AE Mod (Days),float,,Derived,"Smallest AVAL of the following PARAMCD: RTT1RED and RTT1HLD. If none of the above PARAMCD exist, then don't populate this PARAMCD. ",,,
ADEXSUM,AVAL,PARAMCD EQ IAEREDS,Number of AE Dose Reductions for Ipi,float,,Derived,"If ADEX.EXTRT=Ipilimumab count number of unique ADEX.AVAL recods exist where CRIT2FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ INDOSRED,Number of Dose Reductions for Ipi,float,,Derived,"If EXTRT=""Ipilimumab"", count number of unique ADEX.AVAL recods exist where CRIT17FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ ITT1RED,Time to 1st Dose Red for Ipi (Days),float,,Derived,"If EXTRT=""Ipilimumab""
Find earliest ADEX.ASTDT where ADEX.CRIT2FL=Y
AVAL = the above ADEX.ASTDT - TRTSDT +1.
Note: only populate when AVAL is not missing. Do not output an ADEXSUM record if no ADEX record exists where CRIT2FL=""Y""",,,
ADEXSUM,AVAL,PARAMCD EQ IAEHLDS,Number of AE Dose Holds for Ipi,float,,Derived,"If EXTRT=""Ipilimumab""  where ADEX.POSTRTFL^='Y':
count number of unique ADEX recods where CRIT3FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ INDOSHLD,Number of Dose Holds for Ipi,float,,Derived,"If EXTRT=""Ipilimumab"", count number of unique ADEX.AVAL recods exist where CRIT18FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ ITT1HLD,Time to 1st Dose Hold for Ipi (Days),float,,Derived,"If EXTRT=""Ipilimumab""
Find earliest ADEX.ASTDT where ADEX.CRIT3FL=Y
AVAL = the above ADEX.ASTDT - TRTSDT +1.
Note: only populate when AVAL is not missing. Do not output an ADEXSUM record if no ADEX record exists where CRIT3FL=""Y""",,,
ADEXSUM,AVAL,PARAMCD EQ NMODANYI,Number of Any Ipi Dose Mods ,float,,Derived,Sum of ADEXSUM.AVAL for parameters INDOSRED and INDOSHLD,,,
ADEXSUM,AVAL,PARAMCD EQ NMODAEI,Number of Any Ipi Dose Mods due to AE,float,,Derived,Sum of ADEXSUM.AVAL for parameters IAEREDS and IAEHLDS,,,
ADEXSUM,AVAL,PARAMCD EQ ITTFMOD,Time to 1st Ipi Dose AE Mod (Days),float,,Derived,"Smallest AVAL of the following PARAMCD: ITT1RED and ITT1HLD. If none of the above PARAMCD exist, then don't populate this PARAMCD. ",,,
ADEXSUM,SRCVAR,"PARAMCD IN (NVNUMINF, IPNUMINF, RLNUMINF)",,text,,Assigned,"Set to ""ECOCCUR""",,,
ADEXSUM,SRCVAR,"PARAMCD IN (XLCUMDOS, NVCUMDOS, IPCUMDOS, RLCUMDOS)",,text,,Assigned,"Set to ""TOTDOSE""",,,
ADEXSUM,SRCVAR,"PARAMCD NOTIN (XLCUMDOS, NVCUMDOS, RLCUMDOS, IPCUMDOS, NVNUMINF, IPNUMINF, RLNUMINF)",,text,,Assigned,Null.,,,
ADLB,ATOXDSCH,PARAMCD EQ ALP,Toxicity High for ALP,text,,Assigned,Set to 'Alkaline phosphatase increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ ALT,Toxicity High for ALT,text,,Assigned,Set to 'Alanine aminotransferase increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ AMYLASE,Toxicity High for AMYLASE,text,,Assigned,Set to 'Serum amylase increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ AST,Toxicity High for AST,text,,Assigned,Set to 'Aspartate aminotransferase increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ BILI,Toxicity High for BILI,text,,Assigned,Set to 'Blood bilirubin increased'.,,,
ADLB,ATOXDSCH,"PARAMCD IN (CACR, CAION)",Toxicity High for CACR,text,,Assigned,Set to 'Hypercalcemia'.,,,
ADLB,ATOXDSCH,PARAMCD EQ CREAT,Toxicity High for CREAT,text,,Assigned,Set to 'Serum creatinine increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ EOS,Toxicity High for EOS,text,,Assigned,Set to 'Eosinophils increased';,,,
ADLB,ATOXDSCH,PARAMCD EQ GLUC,Toxicity High for GLUC,text,,Assigned,Set to 'Hyperglycemia'.,,,
ADLB,ATOXDSCH,PARAMCD EQ GGT,Toxicity High for GGT,text,,Assigned,Set to 'GGT increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ K,Toxicity High for K,text,,Assigned,Set to 'Hyperkalemia'.,,,
ADLB,ATOXDSCH,PARAMCD EQ LDH,Toxicity High for LDH,text,,Assigned,Set to Blood lactate dehydrogenase increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ LIPASE,Toxicity High for LIPASE,text,,Assigned,Set to 'Lipase increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ MG,Toxicity High for MG,text,,Assigned,Set to 'Hypermagnesemia'.,,,
ADLB,ATOXDSCH,PARAMCD EQ SODIUM,Toxicity High for SODIUM,text,,Assigned,Set to 'Hypernatremia'.,,,
ADLB,ATOXDSCH,PARAMCD EQ HGB,Toxicity High for HGB,text,,Assigned,Set to 'Hemoglobin increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ LYM,Toxicity High for LYM,text,,Assigned,Set to 'Lymphocyte count increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ PROTCRT,Toxicity High for PROTCRT,text,,Assigned,Set to 'UPCR increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ WBC,Toxicity High for WBC,text,,Assigned,Set to 'Leukocytosis'.,,,
ADLB,ATOXDSCH,PARAMCD EQ APTT,Toxicity High for APTT,text,,Assigned,Set to 'PTT increased'.,,,
ADLB,ATOXDSCH,PARAMCD EQ INR,Toxicity High for INR,text,,Assigned,Set to 'INR increased'.,,,
ADLB,ATOXDSCL,PARAMCD EQ ALB,Toxicity Low for ALB,text,,Assigned,Set to 'Hypoalbuminemia'.,,,
ADLB,ATOXDSCL,PARAMCD EQ BICARB,Toxicity Low for BICARB,text,,Assigned,Set to 'Blood bicarbonate decreased'.,,,
ADLB,ATOXDSCL,"PARAMCD IN (CACR, CAION)",Toxicity Low for CACR,text,,Assigned,Set to 'Hypocalcemia'.,,,
ADLB,ATOXDSCL,PARAMCD EQ GLUC,Toxicity Low for GLUC,text,,Assigned,Set to 'Hypoglycemia'.,,,
ADLB,ATOXDSCL,PARAMCD EQ K,Toxicity Low for K,text,,Assigned,Set to 'Hypokalemia'.,,,
ADLB,ATOXDSCL,PARAMCD EQ MG,Toxicity Low for MG,text,,Assigned,Set to 'Hypomagnesemia'.,,,
ADLB,ATOXDSCL,PARAMCD EQ PHOS,Toxicity Low for PHOS,text,,Assigned,Set to 'Hypophosphatemia',,,
ADLB,ATOXDSCL,PARAMCD EQ SODIUM,Toxicity Low for SODIUM,text,,Assigned,Set to 'Hyponatremia'.,,,
ADLB,ATOXDSCL,PARAMCD EQ HGB,Toxicity Low for HGB,text,,Assigned,Set to 'Anemia'.,,,
ADLB,ATOXDSCL,PARAMCD EQ LYM,Toxicity Low for LYM,text,,Assigned,Set to 'Lymphocytes decreased'.,,,
ADLB,ATOXDSCL,PARAMCD EQ NEUT,Toxicity Low for NEUT,text,,Assigned,Set to 'Neutrophils (ANC) decreased'.,,,
ADLB,ATOXDSCL,PARAMCD EQ PLAT,Toxicity Low for PLAT,text,,Assigned,Set to 'Platelets decreased'.,,,
ADLB,ATOXDSCL,PARAMCD EQ WBC,Toxicity Low for WBC,text,,Assigned,Set to 'Leukopenia'.,,,
ADTR,AVALC,PARAMCD EQ TUMSTIV,AVALC for Tumor State per Inv (mm),text,,Assigned,Set to TR.TRSTRESC where TRTESTCD = 'TUMSTATE' and TREVAL = 'INVESTIGATOR'.,,,34
ADTR,AVAL,PARAMCD EQ LDIAMIV,AVAL for Longest Diameter per Inv (mm),float,,Assigned,Set to TR.TRSTRESN where TRTESTCD = 'LDIAM' and TREVAL = 'INVESTIGATOR',"""TOO SMALL TO MEASURE"" is being updated to 5mm at the SDTM level.

eCRF does not differentiate between nodal and non-nodal lesions. Therefore, there are no ""short axis"" measurements, just longest diameter measurements. No parameter for Short Axis created at this time.
",,38
ADTR,AVAL,PARAMCD EQ SUMDIV,AVAL for Sum of Diameters per Inv (mm) ,float,,Derived,"A 'SUMDIV' record is created for each unique subject and visit present in TR domain.
AVAL is the sum of non-missing TRSTRESN from records with TRTESTCD = 'LDIAM' and TREVAL = 'INVESTIGATOR' and TRGRPID = 'TARGET'  within the given subject and visit.
For post-baseline visits, AVAL is only calculated if there is a non-missing LDIAM value for each TRLNKID value used in the calculation of the parameter at baseline.
Exception: if an LDIAM value is missing for some TRLNKIDs, but there exists a record wherein the missing TRLNKIDs are included together in a new TRLNKID (e.g. records with TRLNKID in (""TL1"", ""TL2"") are missing, but there exists a record with TRLNKID = ""TL1/TL2"" for that visit), then the lesions have merged and the calculation may proceed using the new combined measurement.
If any lesions contributing to the calculation have missing TRSTRESN for the given subject, visit, a record is created but AVAL is left missing.","Current eCRF does not seem to permit split tumors, so that condition is not considered.",,39
ADTR,AVALC,PARAMCD EQ TUMSTIR,AVALC for Tumor State per Independent Assessor (mm),text,,Assigned,Set to TR.TRSTRESC where TRTESTCD = 'TUMSTATE' and TREVAL = 'INDEPENDENT ASSESSOR'.,,,
ADTR,AVAL,PARAMCD EQ LDIAMIR,AVAL for Longest Diameter per Independent Assessor (mm),float,,Assigned,Set to TR.TRSTRESN where TRTESTCD = 'LDIAM' and TREVAL = 'INDEPENDENT ASSESSOR',"""TOO SMALL TO MEASURE"" is being updated to 5mm at the SDTM level.

eCRF does not differentiate between nodal and non-nodal lesions. Therefore, there are no ""short axis"" measurements, just longest diameter measurements. No parameter for Short Axis created at this time.
",,
ADTR,AVAL,PARAMCD EQ SUMDIR,AVAL for Sum of Diameters per Independent Assessor (mm) ,float,,Derived,Set to TR.TRSTRESN where TRTESTCD = 'SUMDIAM' and TREVAL = 'INDEPENDENT ASSESSOR',"Current eCRF does not seem to permit split tumors, so that condition is not considered.",,
ADRS,AVALC,PARAMCD EQ NTRGIVR,AVALC for Non-Target Response per Investigator,text,,Assigned,Set to RS.RSSTRESC where RSTESTCD = 'NTRGRESP' and RSEVAL = 'INVESTIGATOR',,,46
ADRS,AVALC,PARAMCD EQ NEWLIVR,AVALC for New Lesions per Investigator,text,Y,Assigned,Set to RS.RSSTRESC where RSTESTCD = 'NEWLIND' and RSEVAL = 'INVESTIGATOR',,,
ADRS,AVALC,PARAMCD EQ OVRLRIVR,AVALC for Overall Response per Investigator,text,TURESPO,Assigned,Set to RS.RSSTRESC where RSTESTCD = 'OVRLRESP' and RSEVAL = 'INVESTIGATOR',,,
ADEFFSUM,AVALC,PARAMCD EQ BPBSDIVR,"AVALC for At Least 1 BL and Post-BL SoD, per Inv using RECIST 1.1",text,NY,Derived,"AVALC = 'Y' if a subject has a baseline SoD measurement per Investigator and a post-baseline measurement that occurs prior to subsequent anti-cancer therapy and prior to or on first PD. Otherwrise, AVALC = 'N'.

1 record for each subject in the SAF population (where ADSL.SAFFL = 'Y') is created. Considering Sum of Diameter records per Investigator (PARAMCD = 'SUMDIV'), AVALC = 'Y' if the subject has: 
(1) a record with ABLFL = 'Y' and AVAL not missing
(2) a record with PSBLFL = 'Y' and AVAL not missing and PREPDFL = 'Y' and PREACTFL = 'Y'.

Otherwise, AVALC = 'N'.",,,
ADEFFSUM,SRCDOM,PARAMCD EQ BPBSDIVR,SRCDOM for BPBSDIVR,text,,Assigned,"If AVALC = 'Y' then set to ""ADTR"".
Otherwise, left null.",,,
ADEFFSUM,SRCVAR,PARAMCD EQ BPBSDIVR,SRCVAR for BPBSDIVR,text,,Assigned,Null,,,
ADEFFSUM,SRCSEQ,PARAMCD EQ BPBSDIVR,SRCSEQ for BPBSDIVR,integer,,Assigned,Null,,,
ADEFFSUM,AVISIT,PARAMCD EQ BPBSDIVR,AVISIT for BPBSDIVR,text,,Assigned,Null,,,
ADEFFSUM,ADT,PARAMCD EQ BPBSDIVR,ADT for BPBSDIVR,integer,,Assigned,Null,,,
ADEFFSUM,AVAL,PARAMCD EQ MXPSDIVR,"AVAL for Maximum Percent Reduction from BL SoD, per Inv using RECIST 1.1",integer,,Derived,"ADTR.PCHG from the post-baseline sum of diameter record with the largest %reduction from baseline that occurs prior to start of new anti-cancer therapy and on or prior to the first PD.
Set ADEFFSUM.AVAL = ADTR.PCHG from the record with PARAMCD = 'SUMDIV' and ANL01FL = 'Y'.

A record is created for each subject who has such a record in ADTR.",,,
ADEFFSUM,AVALC,PARAMCD EQ REDSDIVR,"AVALC for Any Reduction in SoD Before 1st PD, per Inv using RECIST 1.1 ",text,NY,Derived,"See details for AVAL for PARAMCD = 'MXPSDIVR'.
For every 'MXPSDIVR' record, create a record for PARAMCD = 'REDSDIVR'.

If, on the record selected to populate AVAL for ADEFFSUM.PARAMCD = 'MXPSDIVR', ADTR.CRIT1FL = 'Y', then for ADEFFSUM.PARAMCD = 'REDSDIVR', AVALC = 'Y'.
Otherwise, AVALC = 'N'.",,,
ADEFFSUM,SRCDOM,PARAMCD EQ MXPSDIVR,"SRCDOM for MXPSDIVR, REDSDIVR",text,,Assigned,"""ADTR""",,,
ADEFFSUM,SRCDOM,PARAMCD EQ REDSDIVR,SRCDOM for REDSDIVR,text,,Assigned,"If AVALC = 'Y' then set to ""ADTR"".
Otherwise, left null.",,,
ADEFFSUM,SRCVAR,PARAMCD EQ MXPSDIVR,SRCVAR for MXPSDIVR,text,,Assigned,"""PCHG""",,,
ADEFFSUM,SRCVAR,PARAMCD EQ REDSDIVR,SRCVAR for REDSDIVR,text,,Assigned,"If AVALC = 'Y' then set to ""CRIT1FL"".
Otherwise, left null.",,,
ADEFFSUM,SRCSEQ,PARAMCD EQ MXPSDIVR,SRCSEQ for MXPSDIVR,integer,,Assigned,ADTR.ASEQ from the record selected to populate AVAL.,,,
ADEFFSUM,SRCSEQ,PARAMCD EQ REDSDIVR,SRCSEQ for REDSDIVR,integer,,Assigned,"If AVALC = 'Y' then set to ADTR.ASEQ from the record selected to populate AVAL.
Otherwise, left null.",,,
ADEFFSUM,AVISIT,"PARAMCD IN (MXPSDIVR, REDSDIVR)","AVISIT for MXPSDIVR, REDSDIVR",text,,Assigned,ADTR.AVISIT from the record selected to popuate AVAL.,,,
ADEFFSUM,ADT,"PARAMCD IN (MXPSDIVR, REDSDIVR)","ADT for MXPSDIVR, REDSDIVR",integer,,Assigned,ADTR.ADT from the record selected to popuate AVAL.,,,
ADEFFSUM,AVALC,PARAMCD EQ BNEIVR1,"AVALC for Reason 1 For BOR of NE, per Inv using RECIST 1.1 ",text,,Derived,"For each subject with a record where PARAMCD = 'CBORIVR' and AVALC = 'NE' at least one PARAMCD in ('BNEIVR1', 'BNEIVR2', 'BNEIVR3', 'BNEIVR4', 'BNEIVR5') is created.

If the subject has tumor response assessments in ADRS (PARAMCD = 'OVRLRIVR') that occur prior to 1st subsequent anti-cancer therapy (where PREACTFL = 'Y') and on or prior to first PD (where PREPDFL = 'Y' ), but all such records are not evaluable (have AVALC = 'NE'), then a record for PARAMCD = 'BNEIVR1' is created and AVALC set to ""All Tumor Assessments are NE""",,,
ADEFFSUM,AVALC,PARAMCD EQ BNEIVR2,"AVALC for Reason 2 For BOR of NE, per Inv using RECIST 1.1 ",text,,Derived,"For each subject with a record where PARAMCD = 'CBORIVR' and AVALC = 'NE' at least one PARAMCD in ('BNEIVR1', 'BNEIVR2', 'BNEIVR3', 'BNEIVR4', 'BNEIVR5') is created.

Where STAGE=EXPANSION:
If the subject has no tumor records in ADTR prior to randomization (where ADT <= RANDDT) then a record is created for PARAMCD = 'BNEIVR2' with AVALC = 'No baseline assessments'.

Where STAGE=ESCALATION:
If the subject has no tumor records in ADTR prior to treatment start (where ADT <= TRTSDT) then a record is created for PARAMCD = 'BNEIVR2' with AVALC = 'No baseline assessments'.",,"ML 12/20/24: Since subjects in Escalation stage are not randomized, their RANDDT will be missing. We need to use TRTSDT for such subjects.",
ADEFFSUM,AVALC,PARAMCD EQ BNEIVR3,"AVALC for Reason 3 For BOR of NE, per Inv using RECIST 1.1 ",text,,Derived,"For each subject with a record where PARAMCD = 'CBORIVR' and AVALC = 'NE' at least one PARAMCD in ('BNEIVR1', 'BNEIVR2', 'BNEIVR3', 'BNEIVR4', 'BNEIVR5') is created.

If the subject has no tumor response assessments in ADRS (where PARAMCD = 'OVRLRIVR') then a record is created for PARAMCD = 'BNEIVR3' with AVALC = 'No post-baseline assessments'",,,
ADEFFSUM,AVALC,PARAMCD EQ BNEIVR4,"AVALC for Reason 4 For BOR of NE, per Inv using RECIST 1.1 ",text,,Derived,"For each subject with a record where PARAMCD = 'CBORIVR' and AVALC = 'NE' at least one PARAMCD in ('BNEIVR1', 'BNEIVR2', 'BNEIVR3', 'BNEIVR4', 'BNEIVR5') is created.

If the subject has tumor response assessments in ADRS (PARAMCD = 'OVRLRIVR'), but all such records are after first anti-cancer therapy date (PREACTFL = '') or the only available scan is PD after 2 ore more missing scans (AVALC = 'PD' and CRIT1FL = 'Y') then a record for PARAMCD = 'BNEIVR4' is created with AVALC = 'No qualifying post-baseline assessments on or before PFS censoring or event date'",,,
ADEFFSUM,AVALC,PARAMCD EQ BNEIVR5,"AVALC for Reason 5 For BOR of NE, per Inv using RECIST 1.1 ",text,,Derived,"For each subject with a record where PARAMCD = 'CBORIVR' and AVALC = 'NE' at least one PARAMCD in ('BNEIVR1', 'BNEIVR2', 'BNEIVR3', 'BNEIVR4', 'BNEIVR5') is created.

If the subject has tumor response assessments in ADRS (PARAMCD = 'OVRLRIVR') that occur prior to 1st subsequent anti-cancer therapy (where PREACTFL = 'Y') and on or prior to first PD (where PREPDFL = 'Y' ), but all such records are SD or better and occur prior to Day 49 (ADRS.AVALC in ('CR', 'PR', 'SD', 'NON-CR/NON-PD') and SDDYFL = '') then a record for PARAMCD = 'BNEIVR5' is created with AVALC = 'SD not meeting minimum criteria from randomization'",Spec language updated for Day 49 (previously Day 42)- does not impact programming.,,
ADEFFSUM,AVALC,PARAMCD EQ CBORIVR,"AVALC for Confirmed Best Overall Response, per Inv using RECIST 1.1 ",text,TURESPBC_C,Derived,"A record is created for each subject in the ITT population (where ADSL.SAFFL = 'Y').

Overall Response records from ADRS (ADRS.PARAMCD = 'OVRLRIVR' where AVALC not missing) that occur prior to 1st subsequent anti-cancer therapy (where PREACTFL = 'Y') and on or prior to first PD (where PREPDFL = 'Y') are considered. For PD that occur after 2 or more missing scans (AVALC = 'PD' and CRIT1FL = 'Y'), those scans are not considered in the derivation.

Set ADEFFSUM.AVALC to the best response from among ADRS.AVALC observed according to this heirarchy:
Confirmed Complete Response (CR) {best}
Confirmed Partial Response (PR)
Stable Disease (SD)
Non-CR / Non-PD (NON-CR/NON-PD)
Progressive Disease (PD) 
Non-Evaluable (NE)  {worst} 

Confirmed CR records are those with ADRS.AVALC = 'CR' and CONFCRFL = 'Y'.
Confirmed PR records are those with ADRS.AVALC = 'PR' and CONFPRFL = 'Y'.

Non-confirmed CR (UCRFL ='Y') or PR (UPRFL='Y') at least 49 days after randomization (ADRS.SDDYFL='Y') are treated as ""SD"" in the derivation of confirmed BOR.

SD, Non-CR/Non-PD, or non-confirmed CR or PR less than 49 days after randomization  (ADRS.SDDYFL ^= 'Y') are treated as ""NE"" in the derivation of confirmed BOR.

If multiple records with the same AVALC, select the earliest such record for populating ADT and SRC variables.

If the subject has no Overall Response records meeting the requirements above, set ADEFFSUM.AVALC = 'NE'.",,,
ADEFFSUM,SRCDOM,PARAMCD IN (CBORIVR CBORPC CBORBI),SRCDOM for CBORIVR/CBORPC/CBORPC,text,,Assigned,"if subject has AVALC derived from a record in ADRS, set to ""ADRS"" 
Otherwise, set to ""ADSL"".",,,
ADEFFSUM,SRCVAR,PARAMCD IN (CBORIVR CBORPC CBORBI),SRCVAR for CBORIVR/CBORPC/CBORPC,text,,Assigned,"if subject has AVALC derived from a record in ADRS, set to ""AVALC"" 
Otherwise, null.",,,
ADEFFSUM,SRCSEQ,PARAMCD IN (CBORIVR CBORPC CBORBI),SRCSEQ for CBORIVR/CBORPC/CBORPC,integer,,Assigned,"if subject has AVALC derived from a record in ADRS, set to ADRS.ASEQ from the record selected  to popuate AVALC.
Otherwise, null.",,,
ADEFFSUM,AVISIT,PARAMCD IN (CBORIVR CBORPC CBORBI),AVISIT for CBORIVR/CBORPC/CBORPC,text,,Assigned,"if subject has AVALC derived from a record in ADRS, set to ADRS.AVISIT from the record selected  to popuate AVALC.
Otherwise, null.",,,
ADEFFSUM,ADT,PARAMCD IN (CBORIVR CBORPC CBORBI),ADT for CBORIVR/CBORPC/CBORPC,integer,,Assigned,"if subject has AVALC derived from a record in ADRS, set to ADRS.ADT from the record selected  to popuate AVALC.
Otherwise, null.",,,
ADEFFSUM,SRCDOM,"PARAMCD IN (BNEIVR1, BNEIVR2, BNEIVR3, BNEIVR4, BNEIVR5, BNEPC1, BNEPC2, BNEPC3, BNEPC4, BNEPC5, BNEBI1, BNEBI2, BNEBI3, BNEBI4, BNEBI5)",SRCDOM for Reasons For BOR of NE,text,,Assigned,"
If AVALC =  'All Tumor Assessments are NE"", then set to ""ADRS""
If  AVALC = 'No baseline assessments' then set to ""ADTR"".
If AVALC = 'No post-baseline assessments', then set to ""ADRS"".
If AVALC =  'No qualifying post-baseline assessments on or before start of subsequent anti-cancer therapy', then set to ""ADRS""
If AVALC =  'SD not meeting minimum criteria from randomization"", then set to ""ADRS""",,,
ADEFFSUM,SRCVAR,"PARAMCD IN (BNEIVR1, BNEIVR2, BNEIVR3, BNEIVR4, BNEIVR5, BNEPC1, BNEPC2, BNEPC3, BNEPC4, BNEPC5, BNEBI1, BNEBI2, BNEBI3, BNEBI4, BNEBI5)",SRCVAR for Reasons For BOR of NE,text,,Assigned,Null,,,
ADEFFSUM,SRCSEQ,"PARAMCD IN (BNEIVR1, BNEIVR2, BNEIVR3, BNEIVR4, BNEIVR5, BNEPC1, BNEPC2, BNEPC3, BNEPC4, BNEPC5, BNEBI1, BNEBI2, BNEBI3, BNEBI4, BNEBI5)",SRCSEQ for Reasons For BOR of NE,integer,,Assigned,Null,,,
ADEFFSUM,AVISIT,"PARAMCD IN (BNEIVR1, BNEIVR2, BNEIVR3, BNEIVR4, BNEIVR5, BNEPC1, BNEPC2, BNEPC3, BNEPC4, BNEPC5, BNEBI1, BNEBI2, BNEBI3, BNEBI4, BNEBI5)",AVISIT for Reasons For BOR of NE,text,,Assigned,Nul,,,
ADEFFSUM,ADT,"PARAMCD IN (BNEIVR1, BNEIVR2, BNEIVR3, BNEIVR4, BNEIVR5, BNEPC1, BNEPC2, BNEPC3, BNEPC4, BNEPC5, BNEBI1, BNEBI2, BNEBI3, BNEBI4, BNEBI5)",ADT for Reasons For BOR of NE,integer,,Assigned,Null,,,
ADEFFSUM,AVAL,PARAMCD = TTRIVR,"AVAL for Time to Confirmed Objective Response, per Inv using RECIST 1.1 ",float,,Derived,"A record is created for subjects who have a confirmed objective response.
Create a record for subjects with a record in ADEFFSUM where PARAMCD = 'CBORIVR' and CRIT1 = 'Objective Response'.
Among these subjects, identify the earliest confirmed CR or PR (ADRS.PARAMCD = 'OVRLRIVR' where CONFCRFL = 'Y' or CONFPRFL = 'Y'). 
If STAGE=""ESCALATION"" then AVAL = (ADT-TRTSDT+1)/30.4375
If STAGE=""EXPANSION"" then AVAL = (ADT-RANDDT+1)/30.4375",,,
ADEFFSUM,SRCVAR,PARAMCD = TTRIVR,SRCVAR for TTRIVR,text,,Assigned,"Set to ""ADT""",,,
ADEFFSUM,SRCDOM,PARAMCD = TTRIVR,SRCDOM for TTRIVR,text,,Assigned,"Set to ""ADRS""",,,
ADEFFSUM,SRCSEQ,PARAMCD = TTRIVR,SRCSEQ for TTRIVR,integer,,Assigned,Set to ADRS.ASEQ from the record selected for use in AVAL,,,
ADEFFSUM,AVISIT,PARAMCD = TTRIVR,AVISIT for TTRIVR,text,,Assigned,Set to ADRS.AVISIT from the record selected for use in AVAL,,,
ADEFFSUM,ADT,PARAMCD = TTRIVR,ADT for TTRIVR,integer,,Assigned,Set to ADRS.ADT from the record selected for use in AVAL,,,
ADEFFINT,AVALC,PARAMCD = PSAR,AVAL for PSA Response,float,,Derived,"A record is created for subjects who have a PSA Response:
Create a record for all subjects with a record in ADLB where PARAMCD = ""PSA"" and COHORT contains 'EXP 3'
Among these subjects, identify the earliest record with the following criteria: 
1. ADY of this record - ADY of the baseline record >= 84. 
2. CRIT1=""PSA Response >=50% Decrease from Baseline"" 
3. The next chronological record also has CRIT1=""PSA Response >=50% Decrease from Baseline"" and ADY of this record minus the first record is >= 21
If such a record exists then set AVALC=""Y"", otherwise set AVALC=""N""",,,
ADEFFINT,SRCVAR,PARAMCD = PSAR,SRCVAR for PSAR,text,,Assigned,"Set to ""ADT""",,,
ADEFFINT,SRCDOM,PARAMCD = PSAR,SRCDOM for PSAR,text,,Assigned,"Set to ""ADLB""",,,
ADEFFINT,SRCSEQ,PARAMCD = PSAR,SRCSEQ for PSAR,integer,,Assigned,"Set to ADLB.ASEQ from the record selected for use in AVAL. If AVALC=""N"" then set to Null.",,,
ADEFFINT,AVISIT,PARAMCD = PSAR,AVISIT for PSAR,text,,Assigned,"Set to ADLB.AVISIT from the record selected for use in AVAL If AVALC=""N"" then set to Null.",,,
ADEFFINT,ADT,PARAMCD = PSAR,ADT for PSAR,integer,,Assigned,"Set to ADLB.ADT from the record selected for use in AVAL If AVALC=""N"" then set to Null.",,,
ADEFFINT,AVALC,PARAMCD = PSAP,AVAL for PSA Progression,float,,Derived,"A record is created for subjects who have a PSA Response:
Create a record for all subjects with a record in ADLB where PARAMCD = ""PSA"" and COHORT contains 'EXP 3'
Among these subjects, identify the earliest record with the following criteria: 
1. ADY of this record - ADY of the baseline record >= 84. 
2. CRIT2=""PSA Response >=25% Increase from NADIR"" 
3. The next chronological record also has CRIT2=""PSA Response >=25% Increase from NADIR"" and ADY of this record minus the first record is >= 21
If such a record exists then set AVALC=""Y"", otherwise set AVALC=""N""",,,
ADEFFINT,SRCVAR,PARAMCD = PSAP,SRCVAR for PSAP,text,,Assigned,"Set to ""ADT""",,,
ADEFFINT,SRCDOM,PARAMCD = PSAP,SRCDOM for PSAP,text,,Assigned,"Set to ""ADLB""",,,
