Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Core Variable,Notes,XL Comments,,,,,,,,,,
ADSL,EOSDT,End of Study Date,Num,8,date9.,,Derived,"Calculate as DS.DSSTDTC where dsscat='END OF SURVIVAL FOLLOW-UP' as a SAS numeric date variable.

If missing or partial DS.DSSTDTC:
if date is completely missing: set to ADSL.LSTALVDT + 1.
if month and day are missing, then:
if year > year(ADSL.LSTALVDT), set to 1st January.
if year <= year(ADSL.LSTALVDT), set to ADSL.LSTALVDT +1.
if only day is missing: 
if year = year(ADSL.LSTALVDT) and month = month(ADSL.LSTALVDT), set to ADSL.LSTALVDT + 1.
otherwise, set to the 1st of the month.

If imputation of EOSDT>DTHDT>. then set EOSDT = DTHDT.",,,,,,,,,,,,,
ADSL,EOSDTF,End of Study Date Imputation Flag,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.EOSDT imputation. Set to:
Y if entire date is imputed.
M if month and day are imputed.
D if only day is imputed.
Null if source date was not imputed.",,,,,,,,,,,,,
ADSL,DCSREAS,Reason for Discontinuation from Study,Char,200,$200.,DCSREAS_C,Derived,"Set to the decoded value of DS.DSDECOD where DS.DSSCAT='END OF SURVIVAL FOLLOW-UP'. See codelist for assignments.
If DS.DSDECOD is null, but EOSDT is non-missing, set to ""Missing/data not yet received"".",,,,,,,,,,,,,
ADSL,LASTVSDT,Last Visit Date,Num,8,date9.,,Derived,"From SV domain, set to the greater of SV.SVSTDTC or SV.SVENDTC from the the last record where SV.SVOCCUR = 'Y' and the date in SV is less than or equal to ADSL.CUTDT.",,,,,,,,,,,,,
ADSL,WDCFDT,Date of Withdrawal of Full Consent,Num,8,date9.,,Derived,"Set to DS:DSSTDTC where DSTERM='WITHDREW FULL CONSENT FROM ALL STUDY INTERVENTIONS AND NON-INTERVENTIONAL STUDY ASSESSMENTS.' and DSSCAT = ""CONSENT WITHDRAWAL"".",Y,,,,,,,,,,,,
ADSL,EORDT,Date of End of Radiographic FUP,Num,8,date9.,,Derived,"This is the date of the last available CT Scan prior to discontinuing radiographic follow-up. Will be null if subject discontinued the study and had no scans.

The latest date in SUPPDS.QVAL where SUPPDS.QNAM in ('ERCTDTC', 'ERMRIDTC') corresponding to the record where DS.DSSCAT='END OF RADIOGRAPHIC FOLLOW-UP'. Calculated as a SAS date variable.",Y,,,,,,,,,,,,
ADSL,DCRREAS,Reason for Discont. From Radio FUP,Char,200,$200.,DCRREAS_C,Derived,"Set to the decoded value of DS.DSDECOD where DS.DSSCAT='END OF RADIOGRAPHIC FOLLOW-UP'. See codelist.
If DS.DSDECOD is null, but EORDT is non-missing, set to ""Missing/data not yet received"".",,,,,,,,,,,,,
ADSL,CUTDT,Date of Data Cutoff Date,Num,8,date9.,,Assigned,"Set to the date of the data cut-off as a SAS numeric date variable. If date was not filtered, set to the date of the data extraction.",,,,,,,,,,,,,
ADSL,LSTALVDT,Date Last Known Alive,num,8,date9.,,Derived,"1) If the subject has died and DM.DTHDTC is a complete date, set to DM.DTHDTC as a SAS numeric date variable.

2) If DM.DTHDTC is null or partial, LSTALVDT is calculated as follows:
{a} If ADSL.WDCFDT is not missing, set to  WDCFDT.
{b} Otherwise, if available, set to the later of (latest available SS.SSDTC where SS.SSORRES = 'ALIVE') and (latest available SUPPSS.QVAL where QNAM = 'FUALVDTC') and (DS.DSSTDTC where DS.DSSCAT = 'END OF SURVIVAL FOLLOW-UP')
{c} Otherwise, set to the latter of the following dates: (latest SV.SVSTDTC or  SV.SVENDTC where SV.SVOCCUR = 'Y' and SV.VISIT does not contain SURVIVAL FOLLOW-UP), DS.DSSTDTC where DS.DSSCAT='END OF RADIOGRAPHIC FOLLOW-UP', ADSL.EOTDCDT, (latest AE.AESTDTC or AE.AEENDTC with non-missing AETERM), (latest EX.EXSTDTC or EX.EXENDTC where EXDOSE>0), (lastest CM.CMSTDTC or CM.CMENDTC with non-missing CMTRT)

If any of the dates used above are partial dates, then impute as follows:
If only day is missing, set to the 1st of the month.
If month and day are missing, set to January 1st.
Do not consider records where date is completely missing.

If calculated LSTALVDT < TRTSDT, then set to TRTSDT.
If calculated LSTALVDT > CUTDT, then set to CUTDT.",,,,,,,,,,,,,
ADSL,LSALVDTF,Date Last Known Alive Imp. Flag,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.LSTALVDT. If the date used for ADSL.LSTALVDT is imputed, set to:
M if month and day are imputed.
D if only day is imputed.
Null if source date was not imputed.",,Imputation rules require review/ input/ updates based on SAP text.,No imputation needed.,,,,,,,,,,
ADSL,DTHFL,Subject Death Flag,Char,3,$3.,Y,Predecessor,DM.DTHFL,,,,,,,,,,,,,
ADSL,DTHDTC,Date/Time of Death,Char,19,$19.,,Predecessor,DM.DTHDTC,Y,,,,,,,,,,,,
ADSL,DTHUNFDT,"Date of Death, Unfiltered",Num,8,date9.,,Derived,"if DM.DTHDTC is a complete date, then set to ADSL.DTHDTC as a SAS numeric date variable.
If DM.DTHDTC is missing but DM.DTHFL = 'Y', then check AE domain. If a record exists with AE.AETOXGR = 5, set DTHUNFDT to the latter of AE.AESTDTC, AE.AEENDTC. Otherwise,  set to ADSL.LSTALVDT +1.
If DM.DTHDTC has only year, then impute as follows:
- If year(DTHDTC) = year(LSTALVDT) , then set to ADSL.LSTALVDT +1.
- If year(DTHDTC) > year(LSTALVDT), then set to January 1st.
If only day is missing, set to the latter of {LSTALVDT+1}, {1st day of the month}",,,,,,,,,,,,,
ADSL,DTHUNDTF,"Date of Death, Unfiltered, Imput Flag",Char,1,$1.,DATEFL,Assigned,"Based on ADSL.DTHUNFDT imputation. Set to:
Y if entire date is imputed
M if month and day are imputed.
D if only day is imputed.
Null if DM.DTHDTC is a complete date.",,,,,,,,,,,,,
ADSL,DTHDT,Date of Death,Num,8,date9.,,Derived,"Set to ADSL.DTHUNFDT.
If ADSL.DTHUNFDT > ADSL.CUTDT then set to missing.",,,,,,,,,,,,,
ADSL,DTHDTF,Date of Death Imputation Flag,Char,1,$1.,DATEFL,Assigned,"If ADSL.DTHDT is populated, then carry forward the value of ADSL.DTHUNDTF.",,,,,,,,,,,,,
ADSL,DTHFDY,Day of Death Relative to First Dose,Num,8,best20.,,Derived,Calcuate as DTHDT - TRTSDT+1,,,,,,,,,,,,,
ADSL,DTHLDY,Day of Death Relative to Last Dose,Num,8,best20.,,Derived,Calcuate as DTHDT - TRTEDT+1,,,,,,,,,,,,,
ADSL,DTHDYGR1,Day of Death Rel to Last Dose Group 1,Char,50,$50.,DTHPER,Assigned,"Assign based on the value of ADSL.DTHLDY:
'<= 30 days'
'> 30 days'
Null if DTHLDY is missing.",,,,,,,,,,,,,
ADSL,DTHDYGR2,Day of Death Rel to Last Dose Group 2,Char,50,$50.,DTHPER2,Assigned,"Assign based on the value of ADSL.DTHLDY:
'<= 135 days'
'> 135 days'
Null if DTHLDY is missing.",,,,,,,,,,,,,
ADSL,DTHDYGR3,Day of Death Rel to Last Dose Group 3,Char,50,$50.,DTHPER3,Assigned,"Assign based on the value of ADSL.DTHLDY:
'<= 100 days'
'> 100 days'
Null if DTHLDY is missing.",,,,,,,,,,,,,
ADSL,DTHCAUS,Cause of Death,Char,200,$200.,,Derived,"If DM.DTHFL='Y' then set to AE.AEDECOD from the record in AE domain where AE.AETOXGR = '5' or AE.AEOUT = 'FATAL'. If more than one such record, flag as a data issue and select AEDECOD from the record with the lowest AESEQ.
If record exists in AE domain, but AEDECOD is missing on that record, set to ""Uncoded: "" concatenated with AETERM.

If subject died (DM.DTHFL = 'Y') and DTHCAUS is not populated as per steps above, then set to ""Missing/data not yet received"" and investigate as a data issue.",,,,,,,,,,,,,
ADSL,DTHASOSI                                                                                   ,Death Associated With Study Indication,Char,200,$200.,NY,,Set to DD.DDSTRESC where DD.DDTESTCD = 'DTHRELPR'.,,,ML 3/29/2023: Please update DTHRLAFL to DTHRLNFL for Nivo,,,,,,,,,,
ADSL,DTHPUBL,Death Date Obtained from Public Records,Char,200,$200.,NY,,"From records in AE domain where AE.AEOUT = 'FATAL' or AE.AETOXGR = '5', Set to SUPPAE.QVAL where QNAM = 'AEDTHPUB'",,,,,,,,,,,,,
ADSL,DTHRLTFL,Death Related to Study Treatment Flag,Char,1,$1.,NY,,"Set to 'Y' if death was related to any individual study treatment components.  Set to ""Y"" if ADSL.DTHRLNFL = 'Y' or ADSL.DTHRLXFL = 'Y' or ADSL.DTHRLIFL = 'Y' or ADSL.DTHRLRFL = 'Y'.
Otherwise, set to ""N"" ADSL.DTHRLNFL = 'N' or ADSL.DTHRLXFL = 'N' or ADSL.DTHRLIFL = 'N' or ADSL.DTHRLRFL = 'N'.
Null otherwise.",,,,,,,,,,,,,
ADSL,DTHRLNFL,Death Related to Nivolumab Flag,Char,1,$1.,NY,,"From records in AE domain where AE.AEOUT = 'FATAL' or AE.AETOXGR = '5', set to ""Y"" if (SUPPAE.QVAL = 'RELATED"" where SUPPAE.QNAM = 'AEREL2') on any such record.
Otherwise, if such a record exists in AE domain and SUPPAE.QVAL = 'NOT RELATED"" where SUPPAE.QNAM = 'AEREL2', then set to ""N"".
Null otherwise.",,,,,,,,,,,,,
ADSL,DTHRLXFL,Death Related to XL092 Flag,Char,1,$1.,NY,,"From records in AE domain where AE.AEOUT = 'FATAL' or AE.AETOXGR = '5', set to ""Y"" if (SUPPAE.QVAL = 'RELATED"" where SUPPAE.QNAM = 'AEREL1') on any such record.
Otherwise, if such a record exists in AE domain and SUPPAE.QVAL = 'NOT RELATED"" where SUPPAE.QNAM = 'AEREL1', then set to ""N"".
Null otherwise.",,,,,,,,,,,,,
ADSL,DTHRLRFL,Death Related to Nivo/Rela FDC Flag,Char,1,$1.,NY,,"From records in AE domain where AE.AEOUT = 'FATAL' or AE.AETOXGR = '5', set to ""Y"" if (SUPPAE.QVAL = 'RELATED"" where SUPPAE.QNAM = 'AEREL5') on any such record.
Otherwise, if such a record exists in AE domain and SUPPAE.QVAL = 'NOT RELATED"" where SUPPAE.QNAM = 'AEREL5', then set to ""N"".
Null otherwise.",Y,"Requires review/ input/ updates based on SAP text. Should the safety observation period end when new Anti-Cancer therapy is initiated?  
                ",ML 12/23/24: Safety observation period derivation should be updated as per SAP to include 4) ADSLxl.SYSACTDT-1,,,,,,,,,,
ADSL,SMOKSTT,Smoking Status,Char,10,$10.,SUSTAT,Derived,"Set to 'NEVER' if SU.SUOCCUR='N' where SU.SUTRT='TOBACCO';
Set to 'FORMER' if SU.SUOCCUR='Y' and SU.SUENRTPT='BEFORE' where SU.SUTRT='TOBACCO';
Set to 'CURRENT' if SU.SUOCCUR='Y' and SU.SUENRTPT='ONGOING' where SU.SUTRT='TOBACCO'.
Otherwise, null.",Y,"Requires review/ input/ updates based on SAP text. Should the safety observation period end when new Anti-Cancer therapy is initiated?
",ML 12/23/24: Safety observation period derivation should be updated as per SAP to include 4) ADSLxl.SYSACTDT-1,,,,,,,,,,
ADSL,ALCSTT,Alcohol Status,Char,10,$10.,SUSTAT,Derived,"Set to 'NEVER' if SU.SUOCCUR='N' where SU.SUTRT='ALCOHOL';
Set to 'FORMER' if SU.SUOCCUR='Y' and SU.SUENRTPT='BEFORE' where SU.SUTRT='ALCOHOL';
Set to 'CURRENT' if SU.SUOCCUR='Y' and SU.SUENRTPT='ONGOING' where SU.SUTRT='ALCOHOL'.
Otherwise, null.",Y," Imputation rules require review/ input/ updates based on SAP text.
-- updates to imputation rules will require corresponding updates to ADCM","SK: We should stay consistent with XL092-001 where possible.  Here is the algorithm used there. 
Combine CM and SUPPCM and set to the first numeric CM.CMSTDTC on or after TRTSDT where CM.CMCAT=""CONCOMITANT AND SUBSEQUENT NON-RADIATION ANTI-CANCER THERAPY"" and SUPPCM.QVAL=""SYSTEMIC"" where QNAM=""CMTYPE"" 
Do not include records with both CMTRT and CMSTDTC missing.

For partial date, use the following imputation rules:
If year is missing (or completely missing): set to date of last dose of study treatment (EOTDCDT) + 1
If (year is present and month and day are missing) or (year and day are present and month is missing):
If year > year of the last dose: Set month and day to January 1st.
If year = year of the last dose: Set month and day to date of last dose of study treatment (EOTDCDT) + 1
If year and month are present and day is missing:
Set day to 1st day of month if the resulting imputed date is greater than date of last dose (EOTDCDT) or if the month is before the month of last dose date (EOTDCDT) and year is same or before the year of the last dose date. If both the month and year are the same as last dose date (EOTDCDT) month and year, then set imputed date to date of last dose (EOTDCDT) + 1.  Otherwise set the imputed date to date of last dose (EOTDCDT) + 1

MS: included updates in red",,,,,,,,,,
ADSL,EOSOBEDT,End Date of Standard Safety Obs Period,Num,8,date9.,,Derived,"Calculate as the earlier of the following dates:
(1) ADSL.TRTEDT + 30
(2) ADSL.DTHUNFDT
(3) ADSL.CUTDT
(4) ADSL.SYSACTDT-1
Note: only populate when SAFFL = 'Y'.",,,,,,,,,,,,,
ADSL,EOECCEDT,End Date of Extended Safety Obs Period,Num,8,date9.,,Derived,"Calculate as the earlier of the following dates:
(1) a) ADSL.TRTEDT + 100 for XL092+Nivo
     b) ADSL.TRTEDT + 135 for XL092+Nivo/Rela FDC and XL092+Nivo+Ipi
(2) ADSL.DTHUNFDT
(3) ADSL.CUTDT
(4) ADSL.SYSACTDT-1
Note: only populate when SAFFL = 'Y'. Only applies to combination therapies, not single agent.",," Imputation rules require review/ input/ updates based on SAP text.
-- updates to imputation rules will require corresponding updates to ADCM","XW 2/13/2025: Definition of safety observation period changed.
• Date of last dose + 135 days (FU-2) or Date of last dose of any component of study treatment + safety follow-up of 100 days for zanzalintinib + nivolumab combination therapy or + safety follow-up of 135 days for zanzalintinib + nivolumab/relatlimab FDC combination therapy or
• Date of initiating new systemic anti-cancer therapy
• End of study for subject (due to death, lost to follow-up, withdrawal of consent, etc.) or
• Data cutoff date",,,,,,,,,,
ADSL,SYSACTDT,First Systemic Non-Rad Therapy Date,Num,8,date9.,,Derived,"From CM domain, find the earliest record where CM.CMCAT = 'CONCOMITANT AND SUBSEQUENT ANTI-CANCER THERAPIES' and CMSCAT = 'SYSTEMIC' and CMSTDTC >= RANDDT.
Combine CM and SUPPCM and set to the first numeric CM.CMSTDTC on or after TRTSDT where CM.CMCAT=""CONCOMITANT AND SUBSEQUENT ANTI-CANCER THERAPIES"" and CM.CMSCAT=""SYSTEMIC"" 
Do not include records with both CMTRT and CMSTDTC missing.

In the event of partial dates, impute as follows:
If CMSTDTC is completely missing, set to date of decision to discontinue treatment (ADSL.EOTDCDT) + 1.

if CMSTDTC has only year populated, then:
- if year(CMSTDTC) > year(ADSL.EOTDCDT) then set to January 1st.
- if year(CMSTDTC) = year(ADSL.EOTDCDT) then set to date of decision to discontinue treatment (ADSL.EOTDCDT) + 1.

If CMSTDTC has year and month only, then:
- if year(CMSTDTC) and month(CMSTDTC) are the same as year(ADSL.EOTDCDT) and month(ADSL.EOTDCDT) then set to date of decision to discontinue treatment (ADSL.EOTDCDT) + 1.
- Otherwise, set to the first day of the month.",,,,,,,,,,,,,
ADSL,SYSACDTF,First Systemic Therapy Date Imput. Flag,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.SYSACTDT imputation. Set to:
Y if entire date is imputed
M if month and day are imputed
D if only day is imputed
null if  date was not imputed.",Y,Imputation rules require review/ input/ updates based on SAP text.,"SK: This is what is used in XL092-001
We should stay consistent with this when possible
Set to the minimum of the following non-missing dates.  If all are missing, set to Null:
(1) ADSL.SYSACTDT
(2) First Subsequent Local NPACT: Combine CM and SUPPCM and set to the first numeric CM.CMSTDTC on or after TRTSDT where CM.CMCAT=""CONCOMITANT AND SUBSEQUENT NON-RADIATION ANTI-CANCER THERAPY"" and SUPPCM.QVAL=""LOCAL"" where QNAM=""CMTYPE"" 
Do not include records with both CMTRT and CMSTDTC missing.
(3) Date of Subsequent Radiation Therapy: First numeric PR.PRSTDTC on or after TRTSDT where PR:PRCAT=""CONCOMITANT AND SUBSEQUENT RADIATION THERAPY"" and PR.PRINDC='DISEASE UNDER STUDY' and SUPPPR:QVAL where QNAM='RASITYP'^=BONE and PR.VISIT^='SCREENING'
(4) Date of Subsequent Surgery / Procedure Impacting Tumor Lesion: First numeric PR.PRSTDTC on or after TRTSDT where (PR.PRCAT='CONCOMITANT AND SUBSEQUENT SURGERIES AND PROCEDURES'  and SUPPPR.QVAL=Y where SUPPPR.QNAM=CSITL and SUPPPR.QVAL=Y where SUPPPR.QNAM=CSPREL and VISIT^='SCREENING'

Note: if any of the dates in 2-4 above are partial, use the following imputation rules:
1) If year is missing: set to date of last dose of study treatment (EOTDCDT) + 1
2) If (year is present and month and day are missing) or (year and day are present and month is missing):
If year > year of the last dose: Set month and day to January 1st.
If year = year of the last dose: Set month and day to date of last dose of study treatment(EOTDCDT)  + 1
If year < year of the last dose: Set month and day to December 31st 
If the above clause is met, impute as above and flag for stats & programming in the ADaM data issues log.
3) If year and month are present and day is missing:
Set day to 1st day of month if the resulting imputed date is greater than date of last dose(EOTDCDT)  or if the month is before the month of last dose date(EOTDCDT)  and year is same or before the year of the last dose date(EOTDCDT) . If both the month and year are the same as last dose date (EOTDCDT) month and year, then set imputed date to date of last dose (EOTDCDT) + 1.  Otherwise set the imputed date to date of last dose(EOTDCDT)  + 1

MS: Included updates in red, categories differ between studies so identical spec cannot be used.",,,,,,,,,,
ADSL,LOCACTDT,First Local Non-Rad Therapy Date,Num,8,date9.,,Derived,"
Combine CM and SUPPCM and set to the first numeric CM.CMSTDTC on or after TRTSDT where CM.CMCAT=""CONCOMITANT AND SUBSEQUENT ANTI-CANCER THERAPIES"" and CM.CMSCAT=""LOCAL"" 
Do not include records with both CMTRT and CMSTDTC missing.

In the event of partial dates, impute as follows:
If CMSTDTC is completely missing, set to date of decision to discontinue treatment (ADSL.EOTDCDT) + 1.

if CMSTDTC has only year populated, then:
- if year(CMSTDTC) > year(ADSL.EOTDCDT) then set to January 1st.
- if year(CMSTDTC) = year(ADSL.EOTDCDT) then set to date of decision to discontinue treatment (ADSL.EOTDCDT) + 1.

If CMSTDTC has year and month only, then:
- if year(CMSTDTC) and month(CMSTDTC) are the same as year(ADSL.EOTDCDT) and month(ADSL.EOTDCDT) then set to date of decision to discontinue treatment (ADSL.EOTDCDT) + 1.
- Otherwise, set to the first day of the month.",,,,,,,,,,,,,
ADSL,LOCACDTF,First Local Therapy Date Imput. Flag,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.LOCACTDT imputation. Set to:
Y if entire date is imputed
M if month and day are imputed
D if only day is imputed
null if  date was not imputed.",,,ML 10/25/24: Can we use TRTSTDT instead of RANDDT ,,,,,,,,,,
ADSL,FSBACTDT,First Subsequent Anticancer Therapy Date,Num,8,date9.,,Derived,"Earliest date from among subsequent: systemic anti-cancer therapy, local anti-cancer therapy, radiation therapy for disease under study (not targeting bone), surgical resection of target lesion.

Calculate as the earliest from:
(1) ADSL.SYSACTDT
(2) CM.CMSTDTC where CMCAT = 'CONCOMITANT AND SUBSEQUENT ANTI-CANCER THERAPIES' and CMSCAT = 'LOCAL' and CMSTDTC >= RANDDTTRTSDT.
(3)  PR.PRSTDTC where PRCAT = 'CONCOMITANT AND SUBSEQUENT LOCAL RADIATION THERAPY' and PRINDC = 'DISEASE UNDER STUDY'  and SUPPPR.QVAL where QNAM = 'RTSITE' not ""BONE"" and PR.VISIT^='SCREENING'
(4) PR.PRSTDTC where PRCAT = 'CONCOMITANT/SUBSEQUENT SURGERY AND PROCS' and {SUPPPR.QVAL where QNAM = 'PRSGRTL'} = 'Y'

In the event of any partial dates, impute following the same logic as the imputation rules given for ADSL.SYSACTDT (substituting PRSTDTC for CMSTDTC for dates coming from PR domain).",,,ML 10/25/24: Can we use TRTSTDT instead of RANDDT ,,,,,,,,,,
ADSL,FSBACDTF,First SACT Date Imputation Flag,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.FSBACTDT imputation. Set to:
Y if entire date is imputed
M if month and day are imputed
D if only day is imputed
null if  date was not imputed.",,,ML 10/25/24: Can we use TRTSTDT instead of RANDDT ,,,,,,,,,,
ADSL,HTBL,Baseline Height (cm),Num,8,best20.,,Derived,"Set to the most recent non-missing VS.VSSTRESN where VS.VSTESTCD='HEIGHT' and VSDTC is prior to or on the date of randomization (ADSL.TRTSDT).
Null for subjects with missing RANDDT.",,,ML 10/25/24: Can we use TRTSTDT instead of RANDDT ,,,,,,,,,,
ADSL,WTBL,Baseline Weight (kg),Num,8,best20.,,Derived,"Set to the most recent non-missing VS.VSSTRESN where VS.VSTESTCD='WEIGHT' and VSDTC is prior to or on the date of randomization (ADSL.TRTSDT).
Null for subjects with missing RANDDT.",,,,,,,,,,,,,
ADSL,BMIBL,Baseline BMI  (kg/m^2),Num,8,best20.,,Derived,Calculate as: (ADSL.WTBL) / (ADSL.HTBL/100)^2,,,,,,,,,,,,,
ADSL,KPSBL,Baseline Karnofsky Score,Num,8,best20.,,Derived,"Set to numeric version of the most recent non-missing QS.QSORRES where QS.QSTESTCD='KPSS0101' and QSDTC is prior to or on treatment start date (ADSL.TRTSDT).
Null for subjects with missing RANDDT.",,,TD 4/3/25: Updated to use QS instead of RS since this testcd was moved from RS to QS.,,,,,,,,,,
ADSL,LSTCTDT,Date Last CT Scan,Num,8,date9.,,Derived,Latest PR.PRSTDTC in numeric format where PRTRT=CT SCAN,,,,,,,,,,,,,
ADSL,LSTMRIDT,Date Last MRI Scan,Num,8,date9.,,Derived,Latest PR.PRSTDTC in numeric format where PRTRT=BRAIN MRI,,,ML 9/20/24: When there are multiple records pick the records with the last DSSTDTC ,,,,,,,,,,
ADSL,LSTBNDT,Date Last Bone Scan,Num,8,date9.,,Derived,Latest PR.PRSTDTC in numeric format where PRTRT=BONE SCAN,Y,,,,,,,,,,,,
ADSL,FOCBP,Female of Childbearing Potential?,Char,200,$200.,,Predecessor,SUPPDM.QVAL where SUPPDM.QNAM=FOCBP,,,"ML 12/23/2024: Add 5 new variables 'Time to XL092 discontinuation', 'Time to Nivo discontinuation', 'Time to Ipi discontinuation', 'Time to Rela disocntinuation' and 'Time to all study treatmenrt discontinuatioon'.                                                                                       For example: 'Time to XL092 discontinuation' (TT1DC) is calculated as If EOT1STT= ""Discontinued"" then TT1DC= EOT1DCDT – TRT1SDT +1.                                                                                                                                                                          Where EOT1STT (End of treatment status XL092) is calculated as If EOXDCDT (Date of decision to discontinue XL092) is not missing, then EOT1STT='Discontinued'
Else if EOXDCDT is missing, then EOT1STT='Ongoing'",,,,,,,,,,
ADSL,ETREASAE,End of Treatment AE Attribution,Char,200,$200.,,Predecessor,"SUPPDS.QVAL where SUPPDS.QNAM=ETREASAE

Note: Set to latest by DSSTDTC DSSEQ",,,,,,,,,,,,,
ADSL,INVPDDT,Date of Radiographic PD per INV,Num,8,date9.,,Derived,"Date of earliest PD per investigator assessment. Excludes records with dates prior to randomization/treatment start.

If ADSL.STAGE='EXPANSION' then set to the earliest RS.RSDTC (as a numeric SAS date variable) where RSCAT= 'RECIST 1.1' and RSEVAL = 'INVESTIGATOR' and RSTESTCD= 'OVRLRESP' and RS.RSSTRESC=""PD"" and numeric(RSDTC) > RANDDT.

If ADSL.STAGE='ESCALATION' then set to the earliest RS.RSDTC (as a numeric SAS date variable) where RSCAT= 'RECIST 1.1' and RSEVAL = 'INVESTIGATOR' and RSTESTCD= 'OVRLRESP' and RS.RSSTRESC=""PD"" and numeric(RSDTC) > TRTSDT.",,,,,,,,,,,,,
ADSL,BIRCPDDT,Date of Radiographic PD per BIRC,Num,8,date9.,,Derived,"Date of earliest PD per BIRC assessment. Excludes records with dates prior to randomization/treatment start.

If ADSL.STAGE='EXPANSION' then set to the earliest RS.RSDTC (as a numeric SAS date variable) where RSCAT= 'RECIST 1.1' and RSEVAL = 'INDEPENDENT ASSESSOR' and RSTESTCD= 'OVRLRESP' and RS.RSSTRESC=""PD"" and numeric(RSDTC) > RANDDT and (RS.RSACPTFL='Y' or If a subject is missing RS.RSACPTFL for both RSEVALID='READER 1' and 'READER 2' records within the same visit then use RSEVALID='READER 1' record) 

If ADSL.STAGE='ESCALATION' then set to the earliest RS.RSDTC (as a numeric SAS date variable) where RSCAT= 'RECIST 1.1' and RSEVAL = 'INDEPENDENT ASSESSOR' and RSTESTCD= 'OVRLRESP' and RS.RSSTRESC=""PD"" and numeric(RSDTC) > TRTSDT and (RS.RSACPTFL='Y' or If a subject is missing RS.RSACPTFL for both RSEVALID='READER 1' and 'READER 2' records within the same visit then use RSEVALID='READER 1' record) ",,,"XW 2/13/2025: Only apply to Cohort 3. There should be two variables for PD dates from BIRC: CT/MRI scan PD per RECIST 1.1 and Bone scan PD per PCWG3.

XW 2/14/2025: There are reader 1 and reader 2 data in BIRC datasets. Create a imputed acceptance flag, if the acceptance flag is non-missing in BIRC, choose the same value as in acceptance flag; if the acceptance is missing, choose reader 1's data.",,,,,,,,,,
ADSL,PCWGPDDT,Date of Bone Scan PD per PCWG3 IRC,Num,8,date9.,,Derived,"Date of earliest PD per PCWG3 by IRC. Excludes records with dates prior to randomization/treatment start.

If ADSL.STAGE='EXPANSION' then set to the earliest RS.RSDTC (as a numeric SAS date variable) where RSCAT= 'PCWG3' and RSEVAL = 'INDEPENDENT ASSESSOR' and RSTESTCD= 'OVRLRESP' and RS.RSSTRESC=""PD"" and numeric(RSDTC) > RANDDT and (RS.RSACPTFL='Y' or If a subject is missing RS.RSACPTFL for both RSEVALID='READER 1' and 'READER 2' records within the same visit then use RSEVALID='READER 1' record) 

If ADSL.STAGE='ESCALATION' then set to the earliest RS.RSDTC (as a numeric SAS date variable) where RSCAT= 'PCWG3' and RSEVAL = 'INDEPENDENT ASSESSOR' and RSTESTCD= 'OVRLRESP' and RS.RSSTRESC=""PD"" and numeric(RSDTC) > TRTSDT and (RS.RSACPTFL='Y' or If a subject is missing RS.RSACPTFL for both RSEVALID='READER 1' and 'READER 2' records within the same visit then use RSEVALID='READER 1' record) ",,,,,,,,,,,,,
ADSL,PCIVPDDT,Date of Bone Scan PD per PCWG3 INV,Num,8,date9.,,Derived,"Date of earliest PD per PCWG3 by INV. Excludes records with dates prior to randomization/treatment start.

If ADSL.STAGE='EXPANSION' then set to the earliest RS.RSDTC (as a numeric SAS date variable) where RSCAT= 'PCWG3' and RSEVAL = 'INVESTIGATOR' and RSTESTCD= 'OVRLRESP' and RS.RSSTRESC=""PD"" and numeric(RSDTC) > RANDDT 

If ADSL.STAGE='ESCALATION' then set to the earliest RS.RSDTC (as a numeric SAS date variable) where RSCAT= 'PCWG3' and RSEVAL = 'INVESTIGATOR' and RSTESTCD= 'OVRLRESP' and RS.RSSTRESC=""PD"" and numeric(RSDTC) > TRTSDT ",,,,,,,,,,,,,
ADSL,DTHSOPFL,Death During the Standard Obs Per Flag,Char,1,$1.,Y,Derived,"Flags death that occur during the Standard Safety Observation Period.
Standard SOP starts at TRTSDT and is therefore only applicable to subjects in the SAF population.
Derived as:
If SAFFL = 'Y' and TRTSDT<= DTHDT <= EOSOBEDT then set to 'Y'.",,,,,,,,,,,,,
ADSL,DTHESPFL,Death During the Extended SOP Flag,Char,1,$1.,Y,Derived,"Flags death that occur during the Extended Safety Observation Period.
Extended SOP starts at TRTSDT and is therefore only applicable to subjects in the SAF population.
Derived as:
If SAFFL = 'Y' and TRTSDT<= DTHDT <= EOECCEDT then set to 'Y'.",,,,,,,,,,,,,
ADSL,DTHAEPFL,Death After the Extended SOP Flag,Char,1,$1.,Y,Derived,"Flags death that occur during the Extended Safety Observation Period.
Extended SOP starts at TRTSDT and is therefore only applicable to subjects in the SAF population.
Derived as:
If SAFFL = 'Y' and DTHDT > EOECCEDT then set to 'Y'.",,,,,,,,,,,,,
